#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Dynamite","Taio Cruz",73,120,"dance pop, pop, pop rap","Pop, Hip Hop","Rokstarr",2010-01-01,03:23,75,80,0,0,82,0,0,-3,E Major,4,2024-04-29,1DqdF42leyFIzqNDv9CjId,"Universal-Island Records Ltd.",12B,,https://i.scdn.co/image/ab67616d00004851a9006ae892a2255a865c0f7a
2,"Hey Ya!","Outkast",84,80,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop","Hip Hop","Speakerboxxx/The Love Below",2003-00-00,03:55,73,97,10,0,97,0,10,-2,E Minor,4,2024-04-29,2PpruBYCo4H7WOBJ7Q2EwM,"Arista",9A,https://p.scdn.co/mp3-preview/d24b3c4135ced9157b0ea3015a6bcc048e0c2e3a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a6387ab37f64034cdc7b367
3,"Cooler Than Me - Single Mix","Mike Posner,Gigamesh",79,130,"dance pop, pop, pop dance, pop rap, filter house, nu disco","Pop, Electronic, R&B, Hip Hop","31 Minutes to Takeoff",2010-08-09,03:33,77,82,18,0,63,0,60,-5,G Minor,4,2024-04-29,2V4bv1fNWfTcyRJKmej6Sj,"J Records",6A,https://p.scdn.co/mp3-preview/649f480a624454b97a73e354568fcfb9214fdd46?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d6165c0d6eba7e5bf3fca16d
4,"Mr. Brightside","The Killers",87,148,"alternative rock, dance rock, modern rock, permanent wave, rock","Rock","Hot Fuss",2004-00-00,03:42,35,91,0,0,24,0,10,-5,C♯/D♭ Major,4,2024-04-29,003vvx7Niy0yvhvHt4a68B,"Island Records",3B,,https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d
5,"Rocketeer","Far East Movement,Ryan Tedder,Ruff Loaderz",67,96,"asian american hip hop, dance pop, pop rap, pop rock, ","Hip Hop, Pop, Rock","Free Wired",2010-01-01,03:31,66,85,18,0,36,0,20,-6,E Minor,4,2024-04-29,45sDIKapDyxPl307QpEAwl,"Interscope",9A,,https://i.scdn.co/image/ab67616d0000485158b08d62231dfca8d358b876
6,"Pumped Up Kicks","Foster The People",86,128,"indietronica, modern alternative rock, modern rock, rock","Pop, Rock","Torches",2011-05-23,03:59,73,71,14,12,97,0,10,-6,F Minor,4,2024-04-29,7w87IxuO7BDcJ3YUqCyMTT,"Columbia",4A,https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851121d5f92cf90576907dfb1e5
7,"Break Your Heart","Taio Cruz,Ludacris",70,122,"dance pop, pop, pop rap, atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop, trap","Hip Hop, Pop","Rokstarr",2010-01-01,03:06,67,90,0,0,63,0,0,-5,G#/A♭ Major,4,2024-04-29,1CdqVF1ywD0ZO1zXtB9yWa,"Universal-Island Records Ltd.",4B,,https://i.scdn.co/image/ab67616d00004851a9006ae892a2255a865c0f7a
8,"Somebody That I Used To Know","Gotye,Kimbra",77,129,"australian pop, bergen indie, electropop, nz pop","Pop, Electronic","Making Mirrors",2011-01-01,04:04,86,50,59,0,72,0,10,-7,C Major,4,2024-04-29,4wCmqSrbyCgxEXROQE6vtV,"Samples & Seconds / Republic",8B,,https://i.scdn.co/image/ab67616d00004851e1d47c00ddecbfb810c807ed
9,"Blame (feat. John Newman)","Calvin Harris,John Newman",81,128,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance","Pop, Electronic","Motion",2014-10-31,03:32,41,86,3,1,35,0,30,-4,C Minor,4,2024-04-29,07nH4ifBxUB4lZcsf44Brn,"Columbia",5A,https://p.scdn.co/mp3-preview/31297ae5e2f5524fe28b18ed71abc79683c66a88?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851063c048e9ef6bd021b744756
10,"Just Can’t Get Enough","Black Eyed Peas",80,94,"dance pop, pop, pop rap","Pop, Hip Hop","The Beginning",2010-01-01,03:39,66,63,19,0,26,10,10,-9,C Minor,4,2024-04-29,3JA9Jsuxr4xgHXEawAdCp4,"A&M",5A,,https://i.scdn.co/image/ab67616d000048519efc623f9c64c8efb583b186
11,"Toxic","Britney Spears",85,143,"dance pop, pop","Pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F Minor,4,2024-04-29,6I9VzXrHxO9rA9A5euc8Ak,"Jive",4A,https://p.scdn.co/mp3-preview/6de2791f84c1d637a0e24734b6df3997cc742da4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851efc6988972cb04105f002cd4
12,"Runaway (U & I)","Galantis",79,126,"dance pop, edm, pop, pop dance","Pop, Electronic","Pharmacy",2015-06-05,03:47,51,81,1,0,38,0,0,-4,C♯/D♭ Major,4,2024-04-29,46lFttIf5hnUZMGvjK0Wxo,"Big Beat Records/Atlantic",3B,https://p.scdn.co/mp3-preview/07fb66554af09f90798cadd77255c35df6dda8f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b517912fd69652ff10d8e11
13,"Kiss Me Thru The Phone","Soulja Boy,Sammie",78,150,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap, hip pop, r&b, urban contemporary","Hip Hop, Pop, R&B","iSouljaBoyTellem",2008-01-01,03:13,76,71,2,0,80,10,0,-4,G Major,4,2024-04-29,2q4rjDy9WhaN3o9MvDbO21,"Collipark / Interscope",9B,,https://i.scdn.co/image/ab67616d000048516aef62bd0a60aac7df9a9e37
14,"Pocketful of Sunshine","Natasha Bedingfield",77,110,"dance pop, pop, post-teen pop","Pop","Pocketful Of Sunshine",2007-04-27,03:22,72,88,19,0,66,0,0,-4,A Minor,4,2024-04-29,1uigwk5hNV84zRd5YQQRTk,"Epic/Phonogenic",8A,https://p.scdn.co/mp3-preview/5eacff49868206fed1c068e6707315cef0d904fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851861f87fea3ad0f7b23453780
15,"Everybody Talks","Neon Trees",80,155,"modern rock, neo mellow, pop rock, pov: indie","Rock, Folk/Acoustic, Pop","Picture Show",2012-01-01,02:57,47,92,0,0,73,0,30,-4,G#/A♭ Major,4,2024-04-29,2iUmqdfGZcHIhS3b9E9EWq,"Mercury Records",4B,,https://i.scdn.co/image/ab67616d000048514a6c0376235e5aa44e59d2c2
16,"Die Young","Kesha",80,128,"dance pop, pop","Pop","Warrior (Expanded Edition)",2012-11-30,03:31,71,70,0,0,80,0,20,-5,C♯/D♭ Minor,4,2024-04-29,7EQGXaVSyEDsCWKmUcfpLk,"Kemosabe Records/RCA Records",12A,https://p.scdn.co/mp3-preview/237e17c6319aa02a1fde3ebcd89c5e5e3e03dbf8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176c5c62197115a22b23ff950
17,"Last Friday Night (T.G.I.F.)","Katy Perry",76,126,"pop","Pop","Teenage Dream",2010-01-01,03:50,65,81,0,0,72,0,60,-4,D#/E♭ Minor,4,2024-04-29,3avYqdwHKEq8beXbeWCKqJ,"Capitol Records",2A,,https://i.scdn.co/image/ab67616d00004851d20c38f295039520d688a888
